A1,A2,A3,A4,A5,A6,Dates
Average,BDL,22,300,393,Cloudy,01.01.15
Average,BDL,BDL,182,231,Clear,01.02.15
Average,BDL,19,32,85,Cloudy &,01.03.15
Average,BDL,13,146,197,Clear,01.04.15
Average,BDL,10,220,439,clear,01.06.15
Average,BDL,40,55,184,Psartially,01.07.15
Average,BDL,BDL,48,175,Partially,01.08.15
Average,BDL,BDL,139,292,Clear,01.09.15
Average,BDL,10,177,302,Clear,01.10.15
Average,BDL,16,154,222,Clear,01.11.15
Average,BDL,14,174,287,Clear,01.12.15
Average,BDL,13,174,240,Clear,02.02.15
Average,BDL,BDL,32,49,Cloudy &,02.03.15
Average,BDL,BDL,176,311,Clear,02.05.15
Average,BDL,BDL,171,266,Clear,02.06.15
Average,BDL,9,88,165,Clear,02.07.15
Average,BDL,BDL,46,121,Cloudy,02.08.15
Average,BDL,BDL,174,322,Clear,02.09.15
Average,BDL,22,172,263,Clear,02.11.15
Average,BDL,31,330,423,Clear,02.12.15
Average,BDL,19,158,189,Cloudy,03.01.15
Average,BDL,BDL,172,251,Clear,03.02.15
Average,BDL,37,111,181,Partially,03.03.15
Average,BDL,13,183,327,Clear,03.05.15
Average,6,BDL,106,197,Clear,03.06.15
Average,BDL,BDL,60,160,Partially,03.08.15
Average,BDL,9,169,297,Clear,03.09.15
Average,BDL,17,229,330,Clear,03.10.15
Average,BDL,24,164,304,Clear,03.11.15
Average,4,38,241,389,Clear,03.12.15
Average,BDL,20,133,212,Clear,04.02.15
Average,BDL,16,58,-,Partially,04.04.15
Average,BDL,BDL,112,144,Clear,04.06.15
Average,4,BDL,203,570,Clear,04.07.15
Average,BDL,BDL,65,125,Partially,04.08.15
Average,BDL,23,211,363,Clear,04.11.15
Average,BDL,23,192,267,Clear,05.01.15
Average,BDL,30,216,276,Clear,05.02.15
Average,BDL,58,-,-,Clear,05.03.15
Average,BDL,27,123,196,Partially,05.04.15
Average,BDL,24,266,428,Clear,05.05.15
Average,BDL,BDL,166,520,Partially,05.07.15
Average,BDL,BDL,42,101,Partially,05.08.15
Average,BDL,15,199,318,Clear,05.09.15
Average,BDL,15,250,337,Clear,05.10.15
Average,BDL,12,150,400,Clear,05.11.15
Average,4,BDL,349,466,Clear,05.12.15
Average,BDL,16,203,251,Clear,06.01.15
Average,BDL,12,111,197,Clear,06.04.15
Average,BDL,21,165,353,Clear,06.05.15
Average,BDL,10,146,317,Clear,06.06.15
Average,BDL,BDL,38,185,Clear,06.07.15
Average,BDL,21,38,174,Cloudy,06.08.15
Average,BDL,BDL,163,259,Clear,06.09.15
Average,BDL,18,264,`455,Clear,06.10.15
Average,BDL,21,319,408,Clear,06.12.15
Average,BDL,20,252,441,Foggy,07.01.15
Average,BDL,29,195,248,Clear,07.02.15
Average,BDL,42,92,145,Clear,07.03.15
Average,BDL,BDL,124,300,Clear,07.04.15
Average,BDL,13,239,460,Clear,07.05.15
Average,BDL,13,127,320,Clear,07.06.15
Average,BDL,BDL,39,100,Cloudy,07.07.15
Average,BDL,10,115,244,Clear,07.09.15
Average,6,13,201,376,Clear,07.10.15
Average,BDL,24,149,335,Clear,07.11.15
Average,BDL,17,278,349,Partially Cloudy,07.12.15
Average,BDL,10,228,378,Foggy,08.01.15
Average,BDL,27,183,247,Clear,08.02.15
Average,BDL,17,64,124,Clear,08.03.15
Average,5,19,159,293,Clear,08.04.15
Average,BDL,15,222,355,Clear,08.06.15
Average,BDL,13,83,145,Cloudy,08.07.15
Average,BDL,29,268,417,Clear,08.10.15
Average,BDL,17,176,387,Clear,08.11.15
Average,BDL,10,256,381,Clear,08.12.15
Average,BDL,34,191,345,Clear,09.02.15
Average,5,BDL,156,465,Clear,09.03.15
